System	CPUs	Memory	Scale	Query	Time
Hyper	32	128	64	16	0.4755375385284424
Hyper	32	128	64	17	0.327289342880249
Hyper	32	128	64	18	2.131826400756836
Hyper	32	128	64	19	0.436312198638916
Hyper	32	128	64	20	0.15527796745300293
Hyper	32	128	64	21	1.3008770942687988
Hyper	32	128	64	22	0.4082021713256836
DuckDB	32	128	128	1	9.323707342147827
DuckDB	32	128	128	2	1.0235834121704102
DuckDB	32	128	128	3	3.800201177597046
DuckDB	32	128	128	4	8.003175973892212
DuckDB	32	128	128	5	4.036747694015503
DuckDB	32	128	128	6	0.48296117782592773
DuckDB	32	128	128	7	9.405546188354492
DuckDB	32	128	128	8	3.4220590591430664
DuckDB	32	128	128	9	9.261006832122803
DuckDB	32	128	128	10	7.986543655395508
DuckDB	32	128	128	11	0.30858922004699707
DuckDB	32	128	128	12	2.973140239715576
DuckDB	32	128	128	13	6.445992708206177
DuckDB	32	128	128	14	3.113661289215088
DuckDB	32	128	128	15	2.2689006328582764
DuckDB	32	128	128	16	1.734786033630371
DuckDB	32	128	128	17	63.48004651069641
DuckDB	32	128	128	18	17.27992081642151
DuckDB	32	128	128	19	4.155439376831055
DuckDB	32	128	128	20	7.202373504638672
DuckDB	32	128	128	21	23.054489135742188
DuckDB	32	128	128	22	1.452765703201294
DuckDB	32	128	128	1	2.6335625648498535
DuckDB	32	128	128	2	0.7304842472076416
DuckDB	32	128	128	3	3.7236828804016113
DuckDB	32	128	128	4	5.303937911987305
DuckDB	32	128	128	5	2.7106821537017822
DuckDB	32	128	128	6	0.7165379524230957
DuckDB	32	128	128	7	8.232757329940796
DuckDB	32	128	128	8	2.901928424835205
DuckDB	32	128	128	9	9.123342037200928
DuckDB	32	128	128	10	7.473347425460815
DuckDB	32	128	128	11	0.3302650451660156
DuckDB	32	128	128	12	3.041686534881592
DuckDB	32	128	128	13	6.176294326782227
DuckDB	32	128	128	14	2.804145574569702
DuckDB	32	128	128	15	2.0356595516204834
DuckDB	32	128	128	16	2.3267157077789307
DuckDB	32	128	128	17	50.723955392837524
DuckDB	32	128	128	18	16.217916250228882
DuckDB	32	128	128	19	3.985980749130249
DuckDB	32	128	128	20	5.743389368057251
DuckDB	32	128	128	21	22.86932373046875
DuckDB	32	128	128	22	1.3835296630859375
DuckDB	32	128	128	1	2.596972703933716
DuckDB	32	128	128	2	0.7111570835113525
DuckDB	32	128	128	3	3.732661008834839
DuckDB	32	128	128	4	4.558223009109497
DuckDB	32	128	128	5	2.76957631111145
DuckDB	32	128	128	6	0.5192286968231201
DuckDB	32	128	128	7	8.524121046066284
DuckDB	32	128	128	8	2.859581470489502
DuckDB	32	128	128	9	9.037314891815186
DuckDB	32	128	128	10	7.79353928565979
DuckDB	32	128	128	11	0.34697532653808594
DuckDB	32	128	128	12	2.935497283935547
DuckDB	32	128	128	13	5.753365755081177
DuckDB	32	128	128	14	3.064114809036255
DuckDB	32	128	128	15	2.4299087524414062
DuckDB	32	128	128	16	1.2991807460784912
DuckDB	32	128	128	17	44.28517198562622
DuckDB	32	128	128	18	16.590819358825684
DuckDB	32	128	128	19	4.036090612411499
DuckDB	32	128	128	20	5.914930582046509
DuckDB	32	128	128	21	20.636594772338867
DuckDB	32	128	128	22	1.3503813743591309
Hyper	32	128	128	1	6.082580804824829
Hyper	32	128	128	2	0.2452387809753418
Hyper	32	128	128	3	3.8972535133361816
Hyper	32	128	128	4	3.250370740890503
Hyper	32	128	128	5	3.333743095397949
Hyper	32	128	128	6	0.07681941986083984
Hyper	32	128	128	7	4.440964221954346
Hyper	32	128	128	8	2.601520299911499
Hyper	32	128	128	9	9.301851987838745
Hyper	32	128	128	10	3.0345144271850586
Hyper	32	128	128	11	0.23847389221191406
Hyper	32	128	128	12	0.5833685398101807
Hyper	32	128	128	13	13.882613182067871
Hyper	32	128	128	14	0.35524773597717285
Hyper	32	128	128	15	0.415691614151001
Hyper	32	128	128	16	0.9240739345550537
Hyper	32	128	128	17	0.6686937808990479
Hyper	32	128	128	18	7.1965131759643555
Hyper	32	128	128	19	0.9405195713043213
Hyper	32	128	128	20	0.4237515926361084
Hyper	32	128	128	21	2.96193790435791
Hyper	32	128	128	22	0.8639407157897949
Hyper	32	128	128	1	1.5035207271575928
Hyper	32	128	128	2	0.20336627960205078
Hyper	32	128	128	3	1.3784379959106445
Hyper	32	128	128	4	1.0147082805633545
Hyper	32	128	128	5	1.3361341953277588
Hyper	32	128	128	6	0.052136898040771484
Hyper	32	128	128	7	1.505906105041504
Hyper	32	128	128	8	0.7930114269256592
Hyper	32	128	128	9	4.754922389984131
Hyper	32	128	128	10	1.2659494876861572
Hyper	32	128	128	11	0.13793158531188965
Hyper	32	128	128	12	0.4777412414550781
Hyper	32	128	128	13	7.177125692367554
Hyper	32	128	128	14	0.3552589416503906
Hyper	32	128	128	15	0.4449450969696045
Hyper	32	128	128	16	0.9279322624206543
Hyper	32	128	128	17	0.7340681552886963
Hyper	32	128	128	18	5.173810243606567
Hyper	32	128	128	19	0.8483281135559082
Hyper	32	128	128	20	0.21178936958312988
Hyper	32	128	128	21	2.4401779174804688
Hyper	32	128	128	22	0.8083937168121338
Hyper	32	128	128	1	1.421898603439331
Hyper	32	128	128	2	0.18378543853759766
Hyper	32	128	128	3	1.3561246395111084
Hyper	32	128	128	4	1.040466070175171
Hyper	32	128	128	5	1.272592544555664
Hyper	32	128	128	6	0.05149126052856445
Hyper	32	128	128	7	1.4763357639312744
Hyper	32	128	128	8	0.685744047164917
Hyper	32	128	128	9	4.966175556182861
Hyper	32	128	128	10	1.3734385967254639
Hyper	32	128	128	11	0.14915013313293457
Hyper	32	128	128	12	0.48843884468078613
Hyper	32	128	128	13	7.030795574188232
Hyper	32	128	128	14	0.38978052139282227
Hyper	32	128	128	15	0.4348907470703125
Hyper	32	128	128	16	0.949885368347168
Hyper	32	128	128	17	0.7033677101135254
Hyper	32	128	128	18	4.494963645935059
Hyper	32	128	128	19	0.7952797412872314
Hyper	32	128	128	20	0.18970060348510742
Hyper	32	128	128	21	2.0704715251922607
Hyper	32	128	128	22	0.6325232982635498
DuckDB	32	128	256	1	22.19159507751465
DuckDB	32	128	256	2	4.231791973114014
DuckDB	32	128	256	3	10.34312915802002
DuckDB	32	128	256	4	18.115692138671875
DuckDB	32	128	256	5	6.079960346221924
DuckDB	32	128	256	6	3.129854679107666
DuckDB	32	128	256	7	19.77782940864563
DuckDB	32	128	256	8	8.149129390716553
DuckDB	32	128	256	9	22.142904043197632
DuckDB	32	128	256	10	16.163117170333862
DuckDB	32	128	256	11	1.7850933074951172
DuckDB	32	128	256	12	6.2199108600616455
DuckDB	32	128	256	13	18.517757177352905
DuckDB	32	128	256	14	6.298535346984863
DuckDB	32	128	256	15	6.963987588882446
DuckDB	32	128	256	16	3.6998050212860107
DuckDB	32	128	256	17	197.47185254096985
DuckDB	32	128	256	18	41.052916049957275
DuckDB	32	128	256	19	9.236233711242676
DuckDB	32	128	256	20	18.777297019958496
DuckDB	32	128	256	21	57.445359230041504
DuckDB	32	128	256	22	4.0920069217681885
DuckDB	32	128	256	1	10.098114252090454
DuckDB	32	128	256	2	5.886154651641846
DuckDB	32	128	256	3	7.634774684906006
DuckDB	32	128	256	4	16.41832137107849
DuckDB	32	128	256	5	6.190501928329468
DuckDB	32	128	256	6	2.7567131519317627
DuckDB	32	128	256	7	21.409722089767456
DuckDB	32	128	256	8	8.281065702438354
DuckDB	32	128	256	9	19.166664361953735
DuckDB	32	128	256	10	17.078147649765015
DuckDB	32	128	256	11	0.7139828205108643
DuckDB	32	128	256	12	6.139537334442139
DuckDB	32	128	256	13	12.828322887420654
DuckDB	32	128	256	14	6.843448638916016
DuckDB	32	128	256	15	7.36540150642395
DuckDB	32	128	256	16	2.755204439163208
DuckDB	32	128	256	17	165.67357563972473
DuckDB	32	128	256	18	40.58022999763489
DuckDB	32	128	256	19	9.124154806137085
DuckDB	32	128	256	20	20.50779390335083
DuckDB	32	128	256	21	59.988516092300415
DuckDB	32	128	256	22	3.853816509246826
DuckDB	32	128	256	1	12.765212059020996
DuckDB	32	128	256	2	5.1833202838897705
DuckDB	32	128	256	3	7.633238315582275
DuckDB	32	128	256	4	15.974022388458252
DuckDB	32	128	256	5	6.2734551429748535
DuckDB	32	128	256	6	3.1979401111602783
DuckDB	32	128	256	7	17.04169225692749
DuckDB	32	128	256	8	8.093519926071167
DuckDB	32	128	256	9	19.290006399154663
DuckDB	32	128	256	10	16.25090479850769
DuckDB	32	128	256	11	0.7660937309265137
DuckDB	32	128	256	12	6.103207588195801
DuckDB	32	128	256	13	12.490232467651367
DuckDB	32	128	256	14	6.945384979248047
DuckDB	32	128	256	15	6.972872018814087
DuckDB	32	128	256	16	2.98028826713562
DuckDB	32	128	256	17	248.65335488319397
DuckDB	32	128	256	18	38.32833123207092
DuckDB	32	128	256	19	9.292484283447266
DuckDB	32	128	256	20	19.757015228271484
DuckDB	32	128	256	21	56.461968660354614
DuckDB	32	128	256	22	4.002484560012817
Hyper	32	128	256	1	15.902742385864258
Hyper	32	128	256	2	0.48957157135009766
Hyper	32	128	256	3	10.498440265655518
Hyper	32	128	256	4	8.11595869064331
Hyper	32	128	256	5	9.015458822250366
Hyper	32	128	256	6	0.2708570957183838
Hyper	32	128	256	7	9.534638404846191
Hyper	32	128	256	8	5.625164985656738
Hyper	32	128	256	9	16.967864274978638
Hyper	32	128	256	10	6.154415845870972
Hyper	32	128	256	11	0.429157018661499
Hyper	32	128	256	12	1.1870625019073486
Hyper	32	128	256	13	38.046826124191284
Hyper	32	128	256	14	1.1555724143981934
Hyper	32	128	256	15	1.0293452739715576
Hyper	32	128	256	16	2.0761256217956543
Hyper	32	128	256	17	2.1967411041259766
Hyper	32	128	256	18	31.03413462638855
Hyper	32	128	256	19	2.5821568965911865
Hyper	32	128	256	20	3.30999755859375
Hyper	32	128	256	21	9.403984546661377
Hyper	32	128	256	22	1.7638311386108398
Hyper	32	128	256	1	2.6447999477386475
Hyper	32	128	256	2	0.3082001209259033
Hyper	32	128	256	3	2.6479904651641846
Hyper	32	128	256	4	2.2167420387268066
Hyper	32	128	256	5	2.6903207302093506
Hyper	32	128	256	6	0.10231828689575195
Hyper	32	128	256	7	3.0172431468963623
Hyper	32	128	256	8	1.6470856666564941
Hyper	32	128	256	9	10.097257375717163
Hyper	32	128	256	10	4.863723039627075
Hyper	32	128	256	11	0.342376708984375
Hyper	32	128	256	12	1.1391558647155762
Hyper	32	128	256	13	15.588106870651245
Hyper	32	128	256	14	0.5615684986114502
Hyper	32	128	256	15	0.7230064868927002
Hyper	32	128	256	16	1.5490071773529053
Hyper	32	128	256	17	1.4893019199371338
Hyper	32	128	256	18	26.652645349502563
Hyper	32	128	256	19	1.2481791973114014
Hyper	32	128	256	20	0.4176921844482422
Hyper	32	128	256	21	4.381090402603149
Hyper	32	128	256	22	1.2892951965332031
Hyper	32	128	256	1	2.2898221015930176
Hyper	32	128	256	2	0.31401872634887695
Hyper	32	128	256	3	1.9924390316009521
Hyper	32	128	256	4	1.7748031616210938
Hyper	32	128	256	5	2.1192421913146973
Hyper	32	128	256	6	0.08860278129577637
Hyper	32	128	256	7	2.39548397064209
Hyper	32	128	256	8	1.2544665336608887
Hyper	32	128	256	9	7.574093341827393
Hyper	32	128	256	10	2.0994625091552734
Hyper	32	128	256	11	0.23989439010620117
Hyper	32	128	256	12	0.8689825534820557
Hyper	32	128	256	13	13.619161367416382
Hyper	32	128	256	14	0.5486559867858887
Hyper	32	128	256	15	0.7164292335510254
Hyper	32	128	256	16	1.5979650020599365
Hyper	32	128	256	17	1.473740577697754
Hyper	32	128	256	18	21.533076763153076
Hyper	32	128	256	19	1.4329402446746826
Hyper	32	128	256	20	0.520233154296875
Hyper	32	128	256	21	4.334978342056274
Hyper	32	128	256	22	1.325443983078003
DuckDB	16	64	32	1	0.6891682147979736
DuckDB	16	64	32	2	0.1794748306274414
DuckDB	16	64	32	3	0.9473841190338135
DuckDB	16	64	32	4	1.0120940208435059
DuckDB	16	64	32	5	0.8167088031768799
DuckDB	16	64	32	6	0.22413420677185059
DuckDB	16	64	32	7	1.950606107711792
DuckDB	16	64	32	8	0.5999610424041748
DuckDB	16	64	32	9	2.889493465423584
DuckDB	16	64	32	10	1.350996732711792
DuckDB	16	64	32	11	0.06797122955322266
DuckDB	16	64	32	12	0.6316111087799072
DuckDB	16	64	32	13	1.5197596549987793
DuckDB	16	64	32	14	0.5802445411682129
DuckDB	16	64	32	15	0.7177355289459229
DuckDB	16	64	32	16	0.25469970703125
DuckDB	16	64	32	17	6.949143886566162
DuckDB	16	64	32	18	3.8016960620880127
DuckDB	16	64	32	19	1.003026008605957
DuckDB	16	64	32	20	1.1667582988739014
DuckDB	16	64	32	21	3.7461585998535156
DuckDB	16	64	32	22	0.43013525009155273
DuckDB	16	64	32	1	0.7924072742462158
DuckDB	16	64	32	2	0.15640473365783691
DuckDB	16	64	32	3	0.8707830905914307
DuckDB	16	64	32	4	0.9954822063446045
DuckDB	16	64	32	5	0.768563985824585
DuckDB	16	64	32	6	0.2215259075164795
DuckDB	16	64	32	7	1.9073925018310547
DuckDB	16	64	32	8	0.6254327297210693
DuckDB	16	64	32	9	3.0675504207611084
DuckDB	16	64	32	10	1.473172903060913
DuckDB	16	64	32	11	0.06878900527954102
DuckDB	16	64	32	12	0.6271166801452637
DuckDB	16	64	32	13	1.5803651809692383
DuckDB	16	64	32	14	0.5725841522216797
DuckDB	16	64	32	15	0.6937243938446045
DuckDB	16	64	32	16	0.2632603645324707
DuckDB	16	64	32	17	5.969216346740723
DuckDB	16	64	32	18	3.819415807723999
DuckDB	16	64	32	19	0.9658737182617188
DuckDB	16	64	32	20	1.194638729095459
DuckDB	16	64	32	21	3.6902084350585938
DuckDB	16	64	32	22	0.44810009002685547
DuckDB	16	64	32	1	0.7931976318359375
DuckDB	16	64	32	2	0.16132664680480957
DuckDB	16	64	32	3	0.8691656589508057
DuckDB	16	64	32	4	0.9778063297271729
DuckDB	16	64	32	5	0.7830243110656738
DuckDB	16	64	32	6	0.2269277572631836
DuckDB	16	64	32	7	1.9501986503601074
DuckDB	16	64	32	8	0.6102027893066406
DuckDB	16	64	32	9	2.9225165843963623
DuckDB	16	64	32	10	1.406590223312378
DuckDB	16	64	32	11	0.07026910781860352
DuckDB	16	64	32	12	0.6262979507446289
DuckDB	16	64	32	13	1.6087381839752197
DuckDB	16	64	32	14	0.570732831954956
DuckDB	16	64	32	15	0.7244586944580078
DuckDB	16	64	32	16	0.253434419631958
DuckDB	16	64	32	17	5.978360891342163
DuckDB	16	64	32	18	3.670212984085083
DuckDB	16	64	32	19	1.0465202331542969
DuckDB	16	64	32	20	1.1651504039764404
DuckDB	16	64	32	21	3.917945623397827
DuckDB	16	64	32	22	0.36006641387939453
Hyper	16	64	32	1	0.6216883659362793
Hyper	16	64	32	2	0.08421993255615234
Hyper	16	64	32	3	0.4480721950531006
Hyper	16	64	32	4	0.32715487480163574
Hyper	16	64	32	5	0.4003748893737793
Hyper	16	64	32	6	0.02173590660095215
Hyper	16	64	32	7	0.6257469654083252
Hyper	16	64	32	8	0.3467693328857422
Hyper	16	64	32	9	1.4462883472442627
Hyper	16	64	32	10	0.617682933807373
Hyper	16	64	32	11	0.08451437950134277
Hyper	16	64	32	12	0.1521761417388916
Hyper	16	64	32	13	3.54473614692688
Hyper	16	64	32	14	0.11650323867797852
Hyper	16	64	32	15	0.13133621215820312
Hyper	16	64	32	16	0.35767507553100586
Hyper	16	64	32	17	0.27892208099365234
Hyper	16	64	32	18	2.2557601928710938
Hyper	16	64	32	19	0.3004302978515625
Hyper	16	64	32	20	0.1063544750213623
Hyper	16	64	32	21	0.8762161731719971
Hyper	16	64	32	22	0.24809598922729492
Hyper	16	64	32	1	0.588442325592041
Hyper	16	64	32	2	0.06594562530517578
Hyper	16	64	32	3	0.3690321445465088
Hyper	16	64	32	4	0.29970479011535645
Hyper	16	64	32	5	0.3818943500518799
Hyper	16	64	32	6	0.021602392196655273
Hyper	16	64	32	7	0.3857760429382324
Hyper	16	64	32	8	0.20595216751098633
Hyper	16	64	32	9	1.1736948490142822
Hyper	16	64	32	10	0.3859586715698242
Hyper	16	64	32	11	0.05683469772338867
Hyper	16	64	32	12	0.0937044620513916
Hyper	16	64	32	13	2.5094122886657715
Hyper	16	64	32	14	0.11291623115539551
Hyper	16	64	32	15	0.11399555206298828
Hyper	16	64	32	16	0.3104584217071533
Hyper	16	64	32	17	0.2594568729400635
Hyper	16	64	32	18	1.641279697418213
Hyper	16	64	32	19	0.24305057525634766
Hyper	16	64	32	20	0.09895205497741699
Hyper	16	64	32	21	0.8123278617858887
Hyper	16	64	32	22	0.23224425315856934
Hyper	16	64	32	1	0.565741777420044
Hyper	16	64	32	2	0.05932950973510742
Hyper	16	64	32	3	0.3575704097747803
Hyper	16	64	32	4	0.2936537265777588
Hyper	16	64	32	5	0.37544870376586914
Hyper	16	64	32	6	0.020494937896728516
Hyper	16	64	32	7	0.3842597007751465
Hyper	16	64	32	8	0.20451068878173828
Hyper	16	64	32	9	1.2416572570800781
Hyper	16	64	32	10	0.393033504486084
Hyper	16	64	32	11	0.05716109275817871
Hyper	16	64	32	12	0.09474372863769531
Hyper	16	64	32	13	2.5239477157592773
Hyper	16	64	32	14	0.11167550086975098
Hyper	16	64	32	15	0.11568999290466309
Hyper	16	64	32	16	0.29918885231018066
Hyper	16	64	32	17	0.22652506828308105
Hyper	16	64	32	18	1.5443034172058105
Hyper	16	64	32	19	0.24704599380493164
Hyper	16	64	32	20	0.0974576473236084
Hyper	16	64	32	21	0.8089601993560791
Hyper	16	64	32	22	0.23489618301391602
DuckDB	16	64	64	1	4.914095401763916
DuckDB	16	64	64	2	0.33588337898254395
DuckDB	16	64	64	3	1.7547996044158936
DuckDB	16	64	64	4	3.6543121337890625
DuckDB	16	64	64	5	1.647514820098877
DuckDB	16	64	64	6	0.44297361373901367
DuckDB	16	64	64	7	4.212670803070068
DuckDB	16	64	64	8	1.7630729675292969
DuckDB	16	64	64	9	6.390626430511475
DuckDB	16	64	64	10	3.6274027824401855
DuckDB	16	64	64	11	0.12915587425231934
DuckDB	16	64	64	12	1.3568389415740967
DuckDB	16	64	64	13	3.1030735969543457
DuckDB	16	64	64	14	1.1576964855194092
DuckDB	16	64	64	15	1.4545443058013916
DuckDB	16	64	64	16	0.574481725692749
DuckDB	16	64	64	17	14.466750383377075
DuckDB	16	64	64	18	8.77736520767212
DuckDB	16	64	64	19	2.1468522548675537
DuckDB	16	64	64	20	2.3804025650024414
DuckDB	16	64	64	21	8.360936164855957
DuckDB	16	64	64	22	0.868736743927002
DuckDB	16	64	64	1	1.633049726486206
DuckDB	16	64	64	2	0.33005332946777344
DuckDB	16	64	64	3	1.6476056575775146
DuckDB	16	64	64	4	1.8636751174926758
DuckDB	16	64	64	5	1.5507738590240479
DuckDB	16	64	64	6	0.4343850612640381
DuckDB	16	64	64	7	3.8407459259033203
DuckDB	16	64	64	8	1.4868834018707275
DuckDB	16	64	64	9	6.2750468254089355
DuckDB	16	64	64	10	3.265716314315796
DuckDB	16	64	64	11	0.1532588005065918
DuckDB	16	64	64	12	1.305896282196045
DuckDB	16	64	64	13	3.5888590812683105
DuckDB	16	64	64	14	1.1924571990966797
DuckDB	16	64	64	15	1.4180982112884521
DuckDB	16	64	64	16	0.7110927104949951
DuckDB	16	64	64	17	17.976127862930298
DuckDB	16	64	64	18	8.47605037689209
DuckDB	16	64	64	19	2.126816511154175
DuckDB	16	64	64	20	2.546037435531616
DuckDB	16	64	64	21	7.457184791564941
DuckDB	16	64	64	22	0.7938318252563477
DuckDB	16	64	64	1	1.646582841873169
DuckDB	16	64	64	2	0.32273268699645996
DuckDB	16	64	64	3	1.7033584117889404
DuckDB	16	64	64	4	1.8626902103424072
DuckDB	16	64	64	5	1.5354042053222656
DuckDB	16	64	64	6	0.44182443618774414
DuckDB	16	64	64	7	3.8444597721099854
DuckDB	16	64	64	8	1.5632152557373047
DuckDB	16	64	64	9	6.230255842208862
DuckDB	16	64	64	10	3.281134605407715
DuckDB	16	64	64	11	0.13131332397460938
DuckDB	16	64	64	12	1.3770837783813477
DuckDB	16	64	64	13	3.0690102577209473
DuckDB	16	64	64	14	1.1223833560943604
DuckDB	16	64	64	15	1.4240524768829346
DuckDB	16	64	64	16	0.6900167465209961
DuckDB	16	64	64	17	19.038801431655884
DuckDB	16	64	64	18	8.289700031280518
DuckDB	16	64	64	19	2.1174709796905518
DuckDB	16	64	64	20	2.5506057739257812
DuckDB	16	64	64	21	7.595059156417847
DuckDB	16	64	64	22	0.8299570083618164
Hyper	16	64	64	1	3.7982242107391357
Hyper	16	64	64	2	0.18051648139953613
Hyper	16	64	64	3	2.4675354957580566
Hyper	16	64	64	4	1.8277950286865234
Hyper	16	64	64	5	1.9899277687072754
Hyper	16	64	64	6	0.04192304611206055
Hyper	16	64	64	7	1.7034211158752441
Hyper	16	64	64	8	1.363457202911377
Hyper	16	64	64	9	3.5706448554992676
Hyper	16	64	64	10	1.7756738662719727
Hyper	16	64	64	11	0.15089941024780273
Hyper	16	64	64	12	0.3246629238128662
Hyper	16	64	64	13	9.180815935134888
Hyper	16	64	64	14	0.22486186027526855
Hyper	16	64	64	15	0.33562374114990234
Hyper	16	64	64	16	0.7403395175933838
Hyper	16	64	64	17	0.5509436130523682
Hyper	16	64	64	18	4.953918695449829
Hyper	16	64	64	19	0.8225572109222412
Hyper	16	64	64	20	0.3352375030517578
Hyper	16	64	64	21	2.688169479370117
Hyper	16	64	64	22	0.8487021923065186
Hyper	16	64	64	1	1.6221694946289062
Hyper	16	64	64	2	0.18775272369384766
Hyper	16	64	64	3	1.1996383666992188
Hyper	16	64	64	4	1.0382230281829834
Hyper	16	64	64	5	1.2577183246612549
Hyper	16	64	64	6	0.0678110122680664
Hyper	16	64	64	7	1.2160615921020508
Hyper	16	64	64	8	0.627539873123169
Hyper	16	64	64	9	3.807107448577881
Hyper	16	64	64	10	1.1637952327728271
Hyper	16	64	64	11	0.1718745231628418
Hyper	16	64	64	12	0.3977639675140381
Hyper	16	64	64	13	7.166132688522339
Hyper	16	64	64	14	0.20848512649536133
